collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-05-17 21:52:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,46.8%,108565,,"46.8% (108,565명)"
2026-05-17 21:52:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,마이클,,14.5%,33537,,"14.5% (33,537명)"
2026-05-17 21:52:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,8.6%,19952,,"8.6% (19,952명)"
2026-05-17 21:52:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,신극장판 은혼: 요시와라 대염상,,4.3%,9873,,"4.3% (9,873명)"
2026-05-17 21:52:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,악마는 프라다를 입는다 2,,3.4%,7813,,"3.4% (7,813명)"
