collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,1,스파이더맨: 브랜드 뉴 데이,,58.6%,,,"1 | 스파이더맨: 브랜드 뉴 데이 | 2026-07-29 | 58.6% | 7,506,788,890 | 27,038,126,890 | 679,084 | 2,557,931"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,2,오디세이,,24.1%,,,"2 | 오디세이 | 2026-08-05 | 24.1% | 4,333,471,230 | 10,608,000 | 279,659 | 624"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,3,호프,,5.9%,,,"3 | 호프 | 2026-07-15 | 5.9% | 702,017,000 | 43,077,733,180 | 68,788 | 3,992,621"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,4,사랑의 하츄핑: 고래보석의 전설,,4.6%,,,"4 | 사랑의 하츄핑: 고래보석의 전설 | 2026-08-05 | 4.6% | 537,872,920 | 181,714,600 | 53,086 | 16,191"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,5,오케이 마담2,,1.1%,,,"5 | 오케이 마담2 | 2026-08-12 | 1.1% | 147,319,050 | 31,213,000 | 12,402 | 3,407"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,6,미니언즈 & 몬스터즈,,1.0%,,,"6 | 미니언즈 & 몬스터즈 | 2026-07-15 | 1.0% | 104,364,920 | 6,935,186,100 | 11,526 | 690,888"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,7,어떻게 해야 했을까?,,0.8%,,,"7 | 어떻게 해야 했을까? | 2026-07-29 | 0.8% | 94,313,610 | 186,850,420 | 9,297 | 18,573"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,8,명탐정 코난: 하이웨이의 타천사,,0.7%,,,"8 | 명탐정 코난: 하이웨이의 타천사 | 2026-08-12 | 0.7% | 110,633,800 | 0 | 8,678 | 0"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,9,모아나,,0.6%,,,"9 | 모아나 | 2026-07-08 | 0.6% | 67,454,060 | 10,502,690,130 | 7,278 | 987,180"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,10,토이 스토리 5,,0.6%,,,"10 | 토이 스토리 5 | 2026-06-17 | 0.6% | 61,979,650 | 29,836,199,200 | 6,630 | 2,900,654"
2026-08-02 01:00:39 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,11,다윗,,0.3%,,,"11 | 다윗 | 2026-07-10 | 0.3% | 37,016,250 | 2,469,118,810 | 3,763 | 253,428"
